3,128
4,128
5,127
6,127
7,126
8,126
9,125
10,125
11,124
12,124
13,123
14,123
15,123
16,122
17,122
18,121
19,121
20,120
21,120
22,119
23,119
24,119
25,118
26,118
27,117
28,117
29,116
30,116
31,115
32,115
33,114
34,114
35,114
36,113
37,113
38,112
39,112
40,111
41,111
42,110
43,110
44,109
45,109
46,109
47,108
48,108
49,107
50,107
51,106
52,106
53,105
54,105
55,105
56,104
57,104
58,103
59,103
60,102
61,102
62,101
63,101
64,100
65,100
66,100
67,99
68,99
69,98
70,98
71,97
72,97
73,96
74,96
75,95
76,95
77,95
78,94
79,94
80,93
81,93
82,92
83,92
84,91
85,91
86,91
87,90
88,90
89,89
90,89
91,88
92,88
93,87
94,87
95,86
96,86
97,86
98,85
99,85
100,84
101,84
102,83
103,83
104,82
105,82
106,81
107,81
108,81
109,80
110,80
111,79
112,79
113,78
114,78
115,77
116,77
117,76
118,76
119,76
120,75
121,75
122,74
123,74
124,73
125,73
126,72
127,72
128,72
129,71
130,71
131,70
132,70
133,69
134,69
135,68
136,68
137,67
138,67
139,67
140,66
141,66
142,65
143,65
144,64
145,64
146,63
147,63
148,62
149,62
150,62
151,61
152,61
153,60
154,60
155,59
156,59
157,58
158,58
159,58
160,57
161,57
162,56
163,56
164,55
165,55
166,54
167,54
168,53
169,53
170,53
171,52
172,52
173,51
174,51
175,50
176,50
177,49
178,49
179,48
180,48
181,48
182,47
183,47
184,46
185,46
186,45
187,45
188,44
189,44
190,44
191,43
192,43
193,42
194,42
195,41
196,41
197,40
198,40
199,39
200,39
